name,kind,line,domain,target_module
upsertUser,function,61,users,src/db/users.js
tombstoneUser,function,102,users,src/db/users.js
restoreUser,function,237,users,src/db/users.js
trackEvent,function,265,shared_or_unclear,src/db/shared.js
getAnalyticsTopline,function,285,shared_or_unclear,src/db/shared.js
getAnalyticsDaily,function,330,shared_or_unclear,src/db/shared.js
getAdminMetricsSnapshot,function,365,shared_or_unclear,src/db/shared.js
findUserByUsername,function,424,users,src/db/users.js
getUserTgIdByUserId,function,430,users,src/db/users.js
hasUsersBannedAtColumn,function,502,users,src/db/users.js
normalizeUsersDirectoryFilters,function,538,users,src/db/users.js
getUsersDirectoryCohortCounters,function,651,users,src/db/users.js
listUsersDirectory,function,692,users,src/db/users.js
getUsersDirectoryByIds,function,738,users,src/db/users.js
exportUsersDirectory,function,781,users,src/db/users.js
getUserCardById,function,833,users,src/db/users.js
getBrandCredits,function,890,payments,src/db/payments.js
getBrandCreditsByTgId,function,896,payments,src/db/payments.js
getBrandIntroMeta,function,901,shared_or_unclear,src/db/shared.js
getIntroDailyUsage,function,917,shared_or_unclear,src/db/shared.js
addBrandCredits,function,926,payments,src/db/payments.js
addGiftedBrandCredits,function,940,payments,src/db/payments.js
revokeGiftedBrandCredits,function,967,payments,src/db/payments.js
spendBrandCredits,function,1008,payments,src/db/payments.js
isWorkspaceContactsUnlocked,function,1052,workspaces,src/db/workspaces.js
unlockWorkspaceContactsWithCredits,function,1077,workspaces,src/db/workspaces.js
countAvailableBrandRetryCredits,function,1238,shared_or_unclear,src/db/shared.js
listIntroThreadsForRetry,function,1271,barter,src/db/barter.js
issueRetryCreditForThread,function,1289,barter,src/db/barter.js
expireRetryCredits,function,1308,shared_or_unclear,src/db/shared.js
userHasWorkspace,function,1325,workspaces,src/db/workspaces.js
createWorkspace,function,1331,workspaces,src/db/workspaces.js
ensureWorkspaceSettings,function,1345,workspaces,src/db/workspaces.js
listWorkspaces,function,1354,workspaces,src/db/workspaces.js
getWorkspace,function,1372,workspaces,src/db/workspaces.js
getWorkspaceAny,function,1392,workspaces,src/db/workspaces.js
findWorkspaceByChannelUsername,function,1409,workspaces,src/db/workspaces.js
isWorkspacePro,function,1428,workspaces,src/db/workspaces.js
activateWorkspacePro,function,1442,workspaces,src/db/workspaces.js
setWorkspacePinnedOffer,function,1453,barter,src/db/barter.js
countActiveBarterOffers,function,1462,barter,src/db/barter.js
setWorkspaceSetting,function,1486,workspaces,src/db/workspaces.js
setWorkspaceChannelConnection,function,1503,workspaces,src/db/workspaces.js
listIgVerifyPendingWorkspaces,function,1531,workspaces,src/db/workspaces.js
addCurator,function,1549,shared_or_unclear,src/db/shared.js
listCurators,function,1560,shared_or_unclear,src/db/shared.js
getCuratorWorkspaceSummary,function,1574,workspaces,src/db/workspaces.js
getCuratorLeadStats,function,1600,applications,src/db/applications.js
removeCurator,function,1641,shared_or_unclear,src/db/shared.js
hasAnyCuratorRole,function,1648,shared_or_unclear,src/db/shared.js
listCuratorWorkspaces,function,1656,workspaces,src/db/workspaces.js
isCuratorForWorkspace,function,1669,workspaces,src/db/workspaces.js
listGiveawaysForCurator,function,1691,giveaways,src/db/giveaways.js
getGiveawayForCurator,function,1712,giveaways,src/db/giveaways.js
flushWorkspaceAuditBuffer,function,1837,workspaces,src/db/workspaces.js
auditWorkspace,function,2117,workspaces,src/db/workspaces.js
listWorkspaceAudit,function,2177,workspaces,src/db/workspaces.js
listWorkspaceAuditDetailed,function,2194,workspaces,src/db/workspaces.js
countWorkspaceAuditDetailed,function,2249,workspaces,src/db/workspaces.js
searchGlobalAudit,function,2295,audit,src/db/audit.js
countGlobalAudit,function,2333,audit,src/db/audit.js
exportGlobalAudit,function,2347,audit,src/db/audit.js
createGiveaway,function,2375,giveaways,src/db/giveaways.js
updateGiveaway,function,2394,giveaways,src/db/giveaways.js
getGiveawayForOwner,function,2410,giveaways,src/db/giveaways.js
deleteGiveawayForOwner,function,2421,giveaways,src/db/giveaways.js
getGiveawayPublic,function,2436,giveaways,src/db/giveaways.js
getGiveawayInfoForUser,function,2446,giveaways,src/db/giveaways.js
getGiveawayById,function,2456,giveaways,src/db/giveaways.js
getWinnersWithTgId,function,2467,giveaways,src/db/giveaways.js
listGiveaways,function,2479,giveaways,src/db/giveaways.js
replaceGiveawaySponsors,function,2493,giveaways,src/db/giveaways.js
listGiveawaySponsors,function,2502,giveaways,src/db/giveaways.js
upsertGiveawayEntry,function,2514,giveaways,src/db/giveaways.js
getEntryStatus,function,2524,shared_or_unclear,src/db/shared.js
setEntryEligibility,function,2534,instagram,src/db/instagram.js
getGiveawayStats,function,2543,giveaways,src/db/giveaways.js
getGiveawayStatsForCurator,function,2560,giveaways,src/db/giveaways.js
listGiveawayEntriesPage,function,2586,giveaways,src/db/giveaways.js
exportGiveawayParticipantsUsernames,function,2612,giveaways,src/db/giveaways.js
exportGiveawayWinnersUsernames,function,2629,giveaways,src/db/giveaways.js
exportGiveawayWinnersForPublish,function,2645,giveaways,src/db/giveaways.js
setWinners,function,2662,giveaways,src/db/giveaways.js
markGiveawayResultsPublished,function,2699,giveaways,src/db/giveaways.js
reserveGiveawayPublish,function,2715,giveaways,src/db/giveaways.js
finalizeGiveawayPublish,function,2729,giveaways,src/db/giveaways.js
releaseGiveawayPublish,function,2742,giveaways,src/db/giveaways.js
auditGiveaway,function,2756,giveaways,src/db/giveaways.js
listGiveawayAudit,function,2764,giveaways,src/db/giveaways.js
listGiveawayCuratorNotesAudit,function,2777,giveaways,src/db/giveaways.js
listGiveawaysToEnd,function,2790,giveaways,src/db/giveaways.js
listEndedGiveawaysToDraw,function,2816,giveaways,src/db/giveaways.js
listDrawnGiveawaysToPublish,function,2830,giveaways,src/db/giveaways.js
listEligibleUserIdsForGiveaway,function,2844,giveaways,src/db/giveaways.js
listAllUserIdsForGiveaway,function,2852,giveaways,src/db/giveaways.js
listEntriesToCheck,function,2860,shared_or_unclear,src/db/shared.js
hasBarterOffersMetaColumn,function,2888,barter,src/db/barter.js
createBarterOffer,function,2900,barter,src/db/barter.js
listNetworkBarterOffers,function,2940,barter,src/db/barter.js
countNetworkBarterOffers,function,2985,barter,src/db/barter.js
listBarterOffersForOwnerWorkspace,function,3021,barter,src/db/barter.js
listArchivedBarterOffersForOwnerWorkspace,function,3040,barter,src/db/barter.js
restoreBarterOfferForOwner,function,3059,barter,src/db/barter.js
getBarterOfferForOwner,function,3073,barter,src/db/barter.js
updateBarterOffer,function,3086,barter,src/db/barter.js
auditBarterOffer,function,3134,barter,src/db/barter.js
updateBarterOfferStatus,function,3142,barter,src/db/barter.js
bumpBarterOffer,function,3146,barter,src/db/barter.js
getBarterOfferPublic,function,3157,barter,src/db/barter.js
getOrCreateBarterThread,function,3184,barter,src/db/barter.js
getOrCreateBarterThreadWithCredits,function,3215,barter,src/db/barter.js
countBarterThreadProofs,function,3513,barter,src/db/barter.js
listBarterThreadProofs,function,3523,barter,src/db/barter.js
addBarterThreadProofLink,function,3546,barter,src/db/barter.js
