file,lines,imports,internal_imports,external_imports,named_function_declarations,action_literals
src/bot/bot.js,41693,31,29,2,809,549
src/db/queries.js,9212,5,5,0,372,0
scripts/admin-web.js,4668,0,0,0,179,0
src/bot/cron.js,2217,18,17,1,53,4
src/lib/adminWeb/readModels.js,1214,8,8,0,37,0
src/lib/adminWeb/runtime.js,1151,6,6,0,28,0
api/health.js,1042,6,6,0,9,0
api/qstash/broadcast-deliver.js,924,9,9,0,28,0
api/qstash/monetization-retry.js,839,11,11,0,12,2
src/bot/paymentFulfillmentCore.js,712,1,0,1,29,0
src/lib/config.js,657,0,0,0,9,0
src/bot/actionRegistry.js,603,0,0,0,2,560
scripts/test-payment-fulfillment-critical.js,558,6,1,5,8,0
src/lib/adminWeb/auth.js,553,6,6,0,38,0
src/lib/redis.js,500,2,1,1,22,0
src/db/giveawayAtomicCore.js,481,1,1,0,13,0
scripts/test-giveaway-draw-critical.js,451,3,1,2,9,0
scripts/preflight.js,449,5,0,5,16,0
src/bot/payments/starsHandlers.js,408,1,1,0,1,5
src/bot/helpers.js,387,2,1,1,1,3
src/lib/operatorControls.js,320,3,3,0,16,0
scripts/telegram-mobile-acceptance.js,312,4,0,4,10,0
_ig_oauth_parked/api/ig/oauth/callback.js,305,6,2,4,10,0
src/bot/redactContacts.js,276,0,0,0,2,0
src/bot/opsAlerts.js,265,3,2,1,11,1
src/db/pool.js,260,6,5,1,8,0
scripts/critical-spine/postgres.js,257,6,3,3,8,0
src/bot/gwAccess.js,253,4,3,1,9,0
scripts/test-broadcast-delivery-unknown-critical.js,240,3,2,1,1,0
scripts/test-admin-web-auth-critical.js,237,3,2,1,3,2
scripts/smoke-ws-channel-disconnect-contract.js,234,5,1,4,2,16
src/lib/paymentsOps.js,226,3,3,0,13,0
scripts/test-bounded-safety-hardening.js,223,3,1,2,3,1
scripts/test-runtime-stars-payment-validation.js,219,4,0,4,2,0
api/qstash/official-publish-deliver.js,210,5,5,0,5,0
scripts/staging-runtime-acceptance.js,207,4,0,4,13,0
src/lib/adminWeb/comms.js,207,5,5,0,9,0
api/admin-web-auth.js,205,3,3,0,7,0
scripts/smoke-neon-cron-resilience-contract.js,203,8,4,4,1,0
src/lib/adminWeb/usersExport.js,203,3,3,0,3,0
scripts/test-redactContactsInText.js,202,2,1,1,1,0
scripts/smoke-admin-audit-metrics-moderators-contract.js,198,5,1,4,3,13
src/bot/gwNotify.js,198,3,2,1,7,3
migrations/run.js,196,5,1,4,7,0
scripts/lint-public-contacts.js,194,3,0,3,6,0
scripts/lint-redis-atomic.js,194,3,0,3,6,0
src/lib/officialPublishVerify.js,191,5,5,0,5,0
src/lib/adminWeb/common.js,186,2,1,1,21,0
src/lib/monDiag.js,182,1,1,0,10,0
scripts/actions-registry-export-md.js,179,4,1,3,7,1
scripts/landing.js,175,0,0,0,4,0
scripts/test-ig-templates-no-contacts.js,171,3,0,3,5,0
scripts/smoke-access-error-empty-state-recovery-contract.js,170,5,1,4,1,10
src/lib/opsDigest.js,168,2,2,0,9,0
scripts/smoke-start-role-gate-contract.js,166,5,1,4,3,7
scripts/smoke-invite-language-mechanism-honesty-contract.js,165,4,0,4,2,9
scripts/smoke-admin-payments-contract.js,163,5,1,4,3,6
src/lib/qstash.js,163,3,2,1,9,0
scripts/critical-spine/redis.js,162,3,0,3,3,0
_ig_oauth_parked/api/ig/oauth/lib/igOAuth.js,161,1,0,1,15,0
_ig_oauth_parked/lib/igOAuth.js,161,1,0,1,15,0
src/lib/adminWeb/authPolicy.js,160,0,0,0,7,0
scripts/smoke-admin-user-card-note-contract.js,158,5,1,4,3,16
src/lib/criticalUpdateReplay.js,157,3,2,1,7,21
scripts/smoke-env-baseline-contract.js,156,4,0,4,5,0
api/admin-web-read.js,153,7,7,0,2,0
scripts/critical-spine/run.js,153,5,1,4,5,0
scripts/smoke-runtime-proof-spine.js,152,2,0,2,5,1
src/lib/healthPolicy.js,152,0,0,0,10,0
api/qstash/official-publish-verify.js,148,5,5,0,4,0
scripts/smoke-admin-operator-vocabulary-contract.js,148,5,1,4,2,7
scripts/callback-consistency-check.js,147,4,1,3,5,0
scripts/smoke-monetization-paid-product-clarity-contract.js,145,5,1,4,0,2
scripts/gen-mark-all-applied.js,143,4,0,4,4,0
