action,before_owner,after_owner,phase,step
a:bx_home,legacy,barter_discovery,post_user,STEP590E2
a:bx_open,legacy,barter_discovery,post_user,STEP590E2
a:bx_enable_net,legacy,barter_discovery,post_user,STEP590E2
a:bx_smart,legacy,barter_discovery,post_user,STEP590E2
a:bx_smart_reset,legacy,barter_discovery,post_user,STEP590E2
a:bx_feed,legacy,barter_discovery,post_user,STEP590E2
a:bx_filters,legacy,barter_discovery,post_user,STEP590E2
a:bx_mpick,legacy,barter_discovery,post_user,STEP590E2
a:bx_mt,legacy,barter_discovery,post_user,STEP590E2
a:bx_mclear,legacy,barter_discovery,post_user,STEP590E2
a:bx_mdone,legacy,barter_discovery,post_user,STEP590E2
a:bx_fpick,legacy,barter_discovery,post_user,STEP590E2
a:bx_fset,legacy,barter_discovery,post_user,STEP590E2
a:bx_freset,legacy,barter_discovery,post_user,STEP590E2
a:bx_pub,legacy,barter_discovery,post_user,STEP590E2
a:offer_open,legacy,barter_discovery,post_user,STEP590E2
a:off_manage,legacy,barter_official,post_user,STEP590E2
a:off_req_home,legacy,barter_official,post_user,STEP590E2
a:off_req,legacy,barter_official,post_user,STEP590E2
a:off_req_cancel,legacy,barter_official,post_user,STEP590E2
a:off_pub,legacy,barter_official,post_user,STEP590E2
a:off_verify,legacy,barter_official,post_user,STEP590E2
a:off_upd,legacy,barter_official,post_user,STEP590E2
a:off_rm,legacy,barter_official,post_user,STEP590E2
a:off_queue,legacy,barter_official,post_user,STEP590E2
a:bx_report_offer,legacy,barter_conversations,post_user,STEP590E2
a:bx_report_thread,legacy,barter_conversations,post_user,STEP590E2
a:bx_msg,legacy,barter_conversations,post_user,STEP590E2
a:bx_inbox,legacy,barter_conversations,post_user,STEP590E2
a:bx_thread,legacy,barter_conversations,post_user,STEP590E2
a:bx_retry_help,legacy,barter_conversations,post_user,STEP590E2
a:bx_proofs,legacy,barter_conversations,post_user,STEP590E2
a:bx_proof_link,legacy,barter_conversations,post_user,STEP590E2
a:bx_proof_photo,legacy,barter_conversations,post_user,STEP590E2
a:bx_stage,legacy,barter_conversations,post_user,STEP590E2
a:bx_thread_triage,legacy,barter_conversations,post_user,STEP590E2
a:bx_thread_reply,legacy,barter_conversations,post_user,STEP590E2
a:bx_thread_close_q,legacy,barter_conversations,post_user,STEP590E2
a:bx_thread_close_do,legacy,barter_conversations,post_user,STEP590E2
a:bx_thread_del_q,legacy,barter_conversations,post_user,STEP590E2
a:bx_thread_del_do,legacy,barter_conversations,post_user,STEP590E2
a:bx_pub_done,legacy,barter_offers,post_user,STEP590E2
a:bx_pin_set,legacy,barter_offers,post_user,STEP590E2
a:bx_pin_clear,legacy,barter_offers,post_user,STEP590E2
a:bx_bump,legacy,barter_offers,post_user,STEP590E2
a:bx_my,legacy,barter_offers,post_user,STEP590E2
a:bx_my_arch,legacy,barter_offers,post_user,STEP590E2
a:bx_new,legacy,barter_offers,post_user,STEP590E2
a:bx_preset_home,legacy,barter_offers,post_user,STEP590E2
a:bx_preset_apply,legacy,barter_offers,post_user,STEP590E2
a:bx_params,legacy,barter_offers,post_user,STEP590E2
a:bx_kind,legacy,barter_offers,post_user,STEP590E2
a:bx_cat,legacy,barter_offers,post_user,STEP590E2
a:bx_type,legacy,barter_offers,post_user,STEP590E2
a:bx_comp,legacy,barter_offers,post_user,STEP590E2
a:bx_w5,legacy,barter_offers,post_user,STEP590E2
a:bx_w6,legacy,barter_offers,post_user,STEP590E2
a:bx_wtext,legacy,barter_offers,post_user,STEP590E2
a:bx_wtags,legacy,barter_offers,post_user,STEP590E2
a:bx_wtagpick,legacy,barter_offers,post_user,STEP590E2
a:bx_wtagt,legacy,barter_offers,post_user,STEP590E2
a:bx_wtagclr,legacy,barter_offers,post_user,STEP590E2
a:bx_wtagdone,legacy,barter_offers,post_user,STEP590E2
a:bx_comp_pick,legacy,barter_offers,post_user,STEP590E2
a:bx_ottags,legacy,barter_offers,post_user,STEP590E2
a:bx_otpick,legacy,barter_offers,post_user,STEP590E2
a:bx_ott,legacy,barter_offers,post_user,STEP590E2
a:bx_otclr,legacy,barter_offers,post_user,STEP590E2
a:bx_otdone,legacy,barter_offers,post_user,STEP590E2
a:bx_otnext,legacy,barter_offers,post_user,STEP590E2
a:bx_publish_hint,legacy,barter_offers,post_user,STEP590E2
a:bx_otskip,legacy,barter_offers,post_user,STEP590E2
a:bx_publish,legacy,barter_offers,post_user,STEP590E2
a:bx_view,legacy,barter_offers,post_user,STEP590E2
a:bx_media_step,legacy,barter_offers,post_user,STEP590E2
a:bx_media_clear,legacy,barter_offers,post_user,STEP590E2
a:bx_media_photo,legacy,barter_offers,post_user,STEP590E2
a:bx_media_gif,legacy,barter_offers,post_user,STEP590E2
a:bx_media_video,legacy,barter_offers,post_user,STEP590E2
a:bx_media_preview,legacy,barter_offers,post_user,STEP590E2
a:bx_pause,legacy,barter_offers,post_user,STEP590E2
a:bx_resume,legacy,barter_offers,post_user,STEP590E2
a:bx_archive,legacy,barter_offers,post_user,STEP590E2
a:bx_restore,legacy,barter_offers,post_user,STEP590E2
a:bx_del_q,legacy,barter_offers,post_user,STEP590E2
a:bx_del_do,legacy,barter_offers,post_user,STEP590E2
a:bx_partner_folder_pick,legacy,barter_offers,post_user,STEP590E2
a:bx_partner_folder_set,legacy,barter_offers,post_user,STEP590E2
a:bx_partner_folder_clear,legacy,barter_offers,post_user,STEP590E2
