action,category,guard,before_owner,after_owner,source_before,source_after
a:cur_ws,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:cur_ws_off,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:net_q,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:net_set,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:setup,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_disconnect_do,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_disconnect_q,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_history,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_history_export,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_leads,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_list,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_list_inactive,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_open,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_pro,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_pro_pin,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_pro_pin_clear,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_pro_pin_set,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_reconnect_do,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_reconnect_q,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_settings,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_toggle_cur,,none,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_toggle_net,,require_redis,legacy,workspace_control,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_add,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_clear_do,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_clear_q,,none,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_delete_do,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_delete_q,,none,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_export,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_new,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_open,,none,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_remove,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folder_rename,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folders_home,,none,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:folders_my,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_editor_add_username,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_editor_invite,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_editor_rm_do,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_editor_rm_q,,none,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
a:ws_editors,,require_redis,legacy,workspace_folders,src/bot/bot.js,src/bot/domains/workspaces/callbacks.js
