action,category,guard,before_owner,after_owner,source_before,source_after
a:ws_profile,,none,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_mode,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_mode_set,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_verticals,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_vert_t,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_vert_clear,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_formats,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_fmt_t,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_fmt_clear,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_contacts,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_contacts_migrate,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_contacts_edit,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_contacts_clear,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_contacts_clear_k,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_clear,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_edit,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_reset,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_prof_reset_ok,,require_redis,legacy,workspace_profile,src/bot/bot.js,src/bot/domains/workspaces/profileCallbacks.js
a:ws_share,,require_redis,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
a:ws_share_send,,require_redis,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
a:ws_ig_templates,,require_redis,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
a:ws_ig_templates_send,,require_redis,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
a:ws_ig_dm,,require_redis,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
a:ws_ig_verify,,require_redis,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
a:ws_ig_verify_comment,,require_redis,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
a:ws_ig_verify_status,,none,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
a:ws_ig_verify_oauth,,require_redis,legacy,workspace_social,src/bot/bot.js,src/bot/domains/workspaces/socialCallbacks.js
