action,previous_owner,new_owner,phase
a:cur_mode_set,legacy,curator_operations,post_user
a:cur_home,legacy,curator_operations,post_user
a:cur_inbox,legacy,curator_operations,post_user
a:cur_leave_q,legacy,curator_operations,post_user
a:cur_leave_do,legacy,curator_operations,post_user
a:cur_gw_open,legacy,curator_operations,post_user
a:cur_gw_stats,legacy,curator_operations,post_user
a:cur_gw_log,legacy,curator_operations,post_user
a:cur_gw_remind_q,legacy,curator_operations,post_user
a:cur_gw_remind_send,legacy,curator_operations,post_user
a:cur_gw_owner_q,legacy,curator_operations,post_user
a:cur_gw_owner_send,legacy,curator_operations,post_user
a:cur_gw_check_q,legacy,curator_operations,post_user
a:cur_gw_check_do,legacy,curator_operations,post_user
a:cur_gw_note_q,legacy,curator_operations,post_user
a:cur_note_cancel,legacy,curator_operations,post_user
a:cur_manage,legacy,curator_management,post_user
a:cur_invite,legacy,curator_management,post_user
a:cur_add_username,legacy,curator_management,post_user
a:cur_list,legacy,curator_management,post_user
a:cur_audit,legacy,curator_management,post_user
a:cur_rm_q,legacy,curator_management,post_user
a:cur_rm_do,legacy,curator_management,post_user
