action,previous_owner,new_owner,phase
a:admin_users,legacy,admin_users,post_user
a:admin_users_search,legacy,admin_users,post_user
a:admin_users_reset,legacy,admin_users,post_user
a:adm_ucard,legacy,admin_users,post_user
a:adm_ucopy,legacy,admin_users,post_user
a:adm_ucsv,legacy,admin_users,post_user
a:adm_umsg,legacy,admin_users,post_user
a:adm_umsg_free,legacy,admin_users,post_user
a:adm_umsg_send,legacy,admin_users,post_user
a:adm_unote,legacy,admin_users,post_user
a:adm_unote_edit,legacy,admin_users,post_user
a:adm_unote_tag,legacy,admin_users,post_user
a:adm_unote_clear_q,legacy,admin_users,post_user
a:adm_unote_clear,legacy,admin_users,post_user
a:adm_uban_q,legacy,admin_users,post_user
a:adm_uban_do,legacy,admin_users,post_user
a:adm_urevoke_q,legacy,admin_users,post_user
a:adm_urevoke_do,legacy,admin_users,post_user
a:adm_ugift,legacy,admin_users,post_user
a:adm_ugift_do,legacy,admin_users,post_user
a:adm_gift,legacy,admin_gifts,post_user
a:adm_gift_input,legacy,admin_gifts,post_user
a:adm_gift_do,legacy,admin_gifts,post_user
a:adm_gift_batch,legacy,admin_gifts,post_user
a:adm_gift_revoke,legacy,admin_gifts,post_user
a:adm_gift_revoke_input,legacy,admin_gifts,post_user
a:adm_gift_revoke_do,legacy,admin_gifts,post_user
a:adm_gift_revoke_batch,legacy,admin_gifts,post_user
a:admin_support,legacy,admin_support,post_user
a:admin_support_list,legacy,admin_support,post_user
a:admin_support_view,legacy,admin_support,post_user
a:admin_support_set,legacy,admin_support,post_user
a:adm_support_qr,legacy,admin_support,post_user
a:adm_support_reply,legacy,admin_support,post_user
a:adm_support_reply_cancel,legacy,admin_support,post_user
a:admin_mod_list,legacy,admin_moderator_governance,post_user
a:admin_mod_add,legacy,admin_moderator_governance,post_user
a:admin_mod_rm,legacy,admin_moderator_governance,post_user
