action,previous_owner,new_owner,phase,step
a:admin_comms,legacy,admin_communications,post_user,STEP590E5C
a:admin_notice,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_notice_toggle,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_notice_sev,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_notice_target,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_notice_cta,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_notice_expire,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_notice_clear,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_notice_publish,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_notice_text,legacy,admin_notice_management,post_user,STEP590E5C
a:admin_outbox,legacy,admin_outbox,post_user,STEP590E5C
a:admin_outbox_v,legacy,admin_outbox,post_user,STEP590E5C
a:admin_outbox_note,legacy,admin_outbox,post_user,STEP590E5C
a:admin_outbox_repeat,legacy,admin_outbox,post_user,STEP590E5C
a:admin_outbox_to_tpl,legacy,admin_outbox,post_user,STEP590E5C
a:admin_outbox_clear_q,legacy,admin_outbox,post_user,STEP590E5C
a:admin_outbox_clear,legacy,admin_outbox,post_user,STEP590E5C
a:adm_umsg_tpl,legacy,admin_message_templates,post_user,STEP590E5C
a:admin_umsg_tpls,legacy,admin_message_templates,post_user,STEP590E5C
a:admin_umsg_tpl_view,legacy,admin_message_templates,post_user,STEP590E5C
a:admin_umsg_tpl_add,legacy,admin_message_templates,post_user,STEP590E5C
a:admin_umsg_tpl_edit,legacy,admin_message_templates,post_user,STEP590E5C
a:admin_umsg_tpl_del_q,legacy,admin_message_templates,post_user,STEP590E5C
a:admin_umsg_tpl_del,legacy,admin_message_templates,post_user,STEP590E5C
a:admin_umsg_tpl_reset_q,legacy,admin_message_templates,post_user,STEP590E5C
a:admin_umsg_tpl_reset,legacy,admin_message_templates,post_user,STEP590E5C
