action,previous_owner,new_owner,status
a:support,legacy,user_support,extracted
a:support_push,legacy,user_support,extracted
a:support_write,legacy,user_support,extracted
a:verify_home,legacy,user_verification,extracted
a:verify_info,legacy,user_verification,extracted
a:verify_kind,legacy,user_verification,extracted
a:share,legacy,user_sharing,extracted
a:share_perf,legacy,user_sharing,extracted
a:share_points,legacy,user_sharing,extracted
a:share_link,legacy,user_sharing,extracted
a:share_card,legacy,user_sharing,extracted
a:share_history,legacy,user_sharing,extracted
a:share_rewards,legacy,user_sharing,extracted
a:share_redeem,legacy,user_sharing,extracted
a:share_redeem_do,legacy,user_sharing,extracted
a:acc_del_q,legacy,user_account,extracted
a:acc_del_do,legacy,user_account,extracted
a:acc_restore,legacy,user_account,extracted
