export_name,repository,compatibility_facade
upsertUser,src/db/repositories/usersRepository.js,src/db/queries.js
tombstoneUser,src/db/repositories/usersRepository.js,src/db/queries.js
restoreUser,src/db/repositories/usersRepository.js,src/db/queries.js
trackEvent,src/db/repositories/usersRepository.js,src/db/queries.js
getAnalyticsTopline,src/db/repositories/usersRepository.js,src/db/queries.js
getAnalyticsDaily,src/db/repositories/usersRepository.js,src/db/queries.js
getAdminMetricsSnapshot,src/db/repositories/usersRepository.js,src/db/queries.js
findUserByUsername,src/db/repositories/usersRepository.js,src/db/queries.js
getUserTgIdByUserId,src/db/repositories/usersRepository.js,src/db/queries.js
hasUsersBannedAtColumn,src/db/repositories/usersRepository.js,src/db/queries.js
normalizeUsersDirectoryFilters,src/db/repositories/usersRepository.js,src/db/queries.js
getUsersDirectoryCohortCounters,src/db/repositories/usersRepository.js,src/db/queries.js
listUsersDirectory,src/db/repositories/usersRepository.js,src/db/queries.js
getUsersDirectoryByIds,src/db/repositories/usersRepository.js,src/db/queries.js
exportUsersDirectory,src/db/repositories/usersRepository.js,src/db/queries.js
getUserCardById,src/db/repositories/usersRepository.js,src/db/queries.js
getBrandCredits,src/db/repositories/usersRepository.js,src/db/queries.js
getBrandCreditsByTgId,src/db/repositories/usersRepository.js,src/db/queries.js
getBrandIntroMeta,src/db/repositories/usersRepository.js,src/db/queries.js
getIntroDailyUsage,src/db/repositories/usersRepository.js,src/db/queries.js
addBrandCredits,src/db/repositories/usersRepository.js,src/db/queries.js
addGiftedBrandCredits,src/db/repositories/usersRepository.js,src/db/queries.js
revokeGiftedBrandCredits,src/db/repositories/usersRepository.js,src/db/queries.js
spendBrandCredits,src/db/repositories/usersRepository.js,src/db/queries.js
isWorkspaceContactsUnlocked,src/db/repositories/usersRepository.js,src/db/queries.js
unlockWorkspaceContactsWithCredits,src/db/repositories/usersRepository.js,src/db/queries.js
countAvailableBrandRetryCredits,src/db/repositories/usersRepository.js,src/db/queries.js
listIntroThreadsForRetry,src/db/repositories/usersRepository.js,src/db/queries.js
issueRetryCreditForThread,src/db/repositories/usersRepository.js,src/db/queries.js
expireRetryCredits,src/db/repositories/usersRepository.js,src/db/queries.js
userHasWorkspace,src/db/repositories/workspacesRepository.js,src/db/queries.js
createWorkspace,src/db/repositories/workspacesRepository.js,src/db/queries.js
ensureWorkspaceSettings,src/db/repositories/workspacesRepository.js,src/db/queries.js
listWorkspaces,src/db/repositories/workspacesRepository.js,src/db/queries.js
getWorkspace,src/db/repositories/workspacesRepository.js,src/db/queries.js
getWorkspaceAny,src/db/repositories/workspacesRepository.js,src/db/queries.js
findWorkspaceByChannelUsername,src/db/repositories/workspacesRepository.js,src/db/queries.js
isWorkspacePro,src/db/repositories/workspacesRepository.js,src/db/queries.js
activateWorkspacePro,src/db/repositories/workspacesRepository.js,src/db/queries.js
setWorkspacePinnedOffer,src/db/repositories/workspacesRepository.js,src/db/queries.js
countActiveBarterOffers,src/db/repositories/workspacesRepository.js,src/db/queries.js
setWorkspaceSetting,src/db/repositories/workspacesRepository.js,src/db/queries.js
setWorkspaceChannelConnection,src/db/repositories/workspacesRepository.js,src/db/queries.js
listIgVerifyPendingWorkspaces,src/db/repositories/workspacesRepository.js,src/db/queries.js
addCurator,src/db/repositories/workspacesRepository.js,src/db/queries.js
listCurators,src/db/repositories/workspacesRepository.js,src/db/queries.js
getCuratorWorkspaceSummary,src/db/repositories/workspacesRepository.js,src/db/queries.js
getCuratorLeadStats,src/db/repositories/workspacesRepository.js,src/db/queries.js
removeCurator,src/db/repositories/workspacesRepository.js,src/db/queries.js
hasAnyCuratorRole,src/db/repositories/workspacesRepository.js,src/db/queries.js
listCuratorWorkspaces,src/db/repositories/workspacesRepository.js,src/db/queries.js
isCuratorForWorkspace,src/db/repositories/workspacesRepository.js,src/db/queries.js
listGiveawaysForCurator,src/db/repositories/workspacesRepository.js,src/db/queries.js
getGiveawayForCurator,src/db/repositories/workspacesRepository.js,src/db/queries.js
flushWorkspaceAuditBuffer,src/db/repositories/workspacesRepository.js,src/db/queries.js
auditWorkspace,src/db/repositories/workspacesRepository.js,src/db/queries.js
listWorkspaceAudit,src/db/repositories/workspacesRepository.js,src/db/queries.js
listWorkspaceAuditDetailed,src/db/repositories/workspacesRepository.js,src/db/queries.js
countWorkspaceAuditDetailed,src/db/repositories/workspacesRepository.js,src/db/queries.js
searchGlobalAudit,src/db/repositories/workspacesRepository.js,src/db/queries.js
countGlobalAudit,src/db/repositories/workspacesRepository.js,src/db/queries.js
exportGlobalAudit,src/db/repositories/workspacesRepository.js,src/db/queries.js
createGiveaway,src/db/repositories/giveawaysRepository.js,src/db/queries.js
updateGiveaway,src/db/repositories/giveawaysRepository.js,src/db/queries.js
getGiveawayForOwner,src/db/repositories/giveawaysRepository.js,src/db/queries.js
deleteGiveawayForOwner,src/db/repositories/giveawaysRepository.js,src/db/queries.js
getGiveawayPublic,src/db/repositories/giveawaysRepository.js,src/db/queries.js
getGiveawayInfoForUser,src/db/repositories/giveawaysRepository.js,src/db/queries.js
getGiveawayById,src/db/repositories/giveawaysRepository.js,src/db/queries.js
getWinnersWithTgId,src/db/repositories/giveawaysRepository.js,src/db/queries.js
listGiveaways,src/db/repositories/giveawaysRepository.js,src/db/queries.js
replaceGiveawaySponsors,src/db/repositories/giveawaysRepository.js,src/db/queries.js
listGiveawaySponsors,src/db/repositories/giveawaysRepository.js,src/db/queries.js
upsertGiveawayEntry,src/db/repositories/giveawaysRepository.js,src/db/queries.js
getEntryStatus,src/db/repositories/giveawaysRepository.js,src/db/queries.js
setEntryEligibility,src/db/repositories/giveawaysRepository.js,src/db/queries.js
