label,occurrences,files,functions,callbacks_sample,flags,source_sample
📋 Меню,238,api/qstash/monetization-retry.js | src/bot/bot.js | src/bot/cron.js | src/bot/gwNotify.js | src/bot/payments/starsHandlers.js | src/bot/routes/callbacks.js,_renderTplFlowBrandApp | _renderTplFlowLead | acceptBrandApplication | brandAppNoticeKb | brandFieldPromptKb | brandManagerRemoveConfirmKb | brandManagersListKb | brandReplyKb | broadcastTick | bxBrandOnlyNoticeKb | bxCategoryKb | bxCompKb | bxKindKb | bxNeedNetworkKb | bxPresetKb | bxSmartKb | bxTypeKb | creatorBrandAppNoticeKb | curListKb | curManageKb,a:menu | s:menu | a:menu_push|src:admmsg,,src/bot/bot.js:1698; src/bot/bot.js:2007; src/bot/bot.js:2037; src/bot/bot.js:2303; src/bot/bot.js:2770; src/bot/bot.js:2798; src/bot/bot.js:4165; src/bot/bot.js:4269
🏠 Home,231,api/qstash/monetization-retry.js | src/bot/bot.js | src/bot/cron.js | src/bot/gwNotify.js | src/bot/payments/starsHandlers.js | src/bot/routes/callbacks.js,_renderTplFlowBrandApp | _renderTplFlowLead | acceptBrandApplication | brandAppNoticeKb | brandAppReplyRecoveryKb | brandFieldPromptKb | brandManagersListKb | brandReplyKb | brandTeamLockedKb | broadcastTick | bxBrandOnlyNoticeKb | bxCompKb | bxNeedNetworkKb | bxPresetKb | bxTypeKb | creatorBrandAppChatRecoveryKb | creatorBrandAppNoticeKb | curListKb | curManageKb | curatorHomeKb,a:home | s:home,english_or_internal_term,src/bot/bot.js:2007; src/bot/bot.js:2038; src/bot/bot.js:2303; src/bot/bot.js:2739; src/bot/bot.js:2742; src/bot/bot.js:2771; src/bot/bot.js:2799; src/bot/bot.js:3479
⬅️ Назад,174,src/bot/bot.js | src/bot/gwAccess.js | src/bot/payments/starsHandlers.js,_renderTplFlowBrandApp | _renderTplFlowLead | acceptBrandApplication | brandFieldPromptKb | brandManagersListKb | brandTeamKb | brandTeamLockedKb | bxCompKb | bxInboxNavKb | bxNeedNetworkKb | bxOfferTagsKb | bxPresetKb | bxProofsKb | bxTypeKb | curListKb | curatorGwKb | curatorHomeKb | curatorWsKb | exportWsHistory | folderViewKb,a:bx_pub_done|ws:${…}|o:${…}|p:${…}|back:${…} | a:brand_apply_done|u:${…}|p:${…}|inb:${…} | a:brand_app_accepted_done|id:${…}|u:${…} | a:cur_manage|ws:${…} | a:brand_team|ws:0 | a:brand_profile_more${…} | a:brand_profile_edit${…} | a:brands_home|p:${…} | a:ws_open|ws:${…} | a:bx_new|ws:${…} | a:bx_comp_pick|ws:${…} | a:bx_inbox|ws:${…}|p:${…}|h:${…},generic_cta,src/bot/bot.js:2006; src/bot/bot.js:2035; src/bot/bot.js:4269; src/bot/bot.js:4497; src/bot/bot.js:4507; src/bot/bot.js:4516; src/bot/bot.js:4563; src/bot/bot.js:4582
❌ Отмена,41,src/bot/bot.js,bxOfferTagsKb | getBot | navKbInput | renderCuratorGiveawayOwnerNotifyQ,a:menu | a:bx_open|ws:${…} | a:cur_gw_open|ws:${…}|i:${…} | a:adm_support_reply_cancel | a:adm_gift | a:adm_gift_revoke | a:adm_umsg|id:${…}|f:${…}|p:${…} | a:cur_ws|ws:${…} | a:cur_note_cancel|ws:${…}|i:${…} | a:blead_cancel|id:${…}|w:${…} | a:brand_app_view|id:${…}|s:${…}|p:${…} | a:lead_view|id:${…}|w:${…}|s:${…}|p:${…}${…},generic_cta,src/bot/bot.js:4508; src/bot/bot.js:8183; src/bot/bot.js:19035; src/bot/bot.js:19912; src/bot/bot.js:20018; src/bot/bot.js:20366; src/bot/bot.js:20373; src/bot/bot.js:20406
⬅️ Отмена,27,src/bot/bot.js,brandManagerRemoveConfirmKb | bxCategoryKb | bxKindKb | getBot | gwNewStepPrizeKb | netConfirmKb | renderCuratorGiveawayRemindQ,a:bm_list|ws:0 | a:bx_open|ws:${…} | a:ws_open|ws:${…} | a:cur_gw_open|ws:${…}|i:${…} | a:admin_home | a:ws_prof_contacts|ws:${…} | a:ws_profile|ws:${…} | a:brand_profile${…} | a:admin_users|f:${…}|p:0 | a:aud|h:${…}|p:0 | a:mod_verif_view|uid:${…}|p:${…} | a:bx_pub|ws:${…}|o:${…}|p:${…}|h:${…},generic_cta,src/bot/bot.js:6160; src/bot/bot.js:6171; src/bot/bot.js:8088; src/bot/bot.js:8096; src/bot/bot.js:8681; src/bot/bot.js:18955; src/bot/bot.js:19939; src/bot/bot.js:21081
⬅️ Админка,24,src/bot/bot.js | src/bot/cron.js,broadcastTick | getBot | renderAdminComms | renderAdminHardSkipHits | renderAdminHardSkipHome | renderAdminOps | renderAdminPaymentsFallback | renderAdminSystem | renderBroadcastAudiencePicker | renderBroadcastBlocked | renderBroadcastList | renderBroadcastPreview | renderBroadcastView | sendAdminAuditExport | sendAdminUsersCsv,a:admin_home,,src/bot/bot.js:19913; src/bot/bot.js:20075; src/bot/bot.js:20470; src/bot/bot.js:21124; src/bot/bot.js:32523; src/bot/bot.js:32543; src/bot/bot.js:32559; src/bot/bot.js:32577
💬 Поддержка,24,src/bot/bot.js,curatorHomeKb | curatorModeMenuKb | getBot | mainMenuBrandKb | mainMenuCreatorCurrentKb | mainMenuCreatorKb | mainMenuKb | maybeSendSystemNotice | renderAccountDeletedGate | renderCreatorCurrentMenu | renderHomeHub | sendAdminMessageToUser,a:support | a:support_push|src:admmsg,,src/bot/bot.js:1698; src/bot/bot.js:3462; src/bot/bot.js:3516; src/bot/bot.js:3579; src/bot/bot.js:3635; src/bot/bot.js:4167; src/bot/bot.js:4321; src/bot/bot.js:4363
✅ Готово,23,src/bot/bot.js,brandDirMultiPickKb | brandDirPickKb | bxMediaKb | bxMultiPickKb | bxOfferTagsPickerKb | bxOfferWizTagsHomeKb | bxOfferWizTagsPickerKb | bxPickKb | getBot | renderBrandBudgetBucketPicker | renderBrandCollabTypesPicker | renderBrandGoalsTagsPicker | renderBrandNichePicker | renderBrandProfileHome | renderBrandReqTagsPicker | renderProfileMatchingPick | renderWsProfileVerticals,a:brand_profile${…} | a:brand_bb_done${…} | a:brand_gt_done${…} | a:brand_rt_done${…} | a:brand_ty_done${…} | a:brands_filters|p:${…} | a:bd_mdone|p:${…} | a:bx_otdone|ws:${…} | a:bx_w5|ws:${…} | a:bx_wtagdone|ws:${…} | a:bx_filters|ws:${…}|p:${…}|h:${…}|r:${…} | a:bx_mdone|ws:${…}|k:${…}|p:${…}|h:${…}|r:${…},generic_cta,src/bot/bot.js:6768; src/bot/bot.js:6828; src/bot/bot.js:6871; src/bot/bot.js:6905; src/bot/bot.js:6939; src/bot/bot.js:6989; src/bot/bot.js:7457; src/bot/bot.js:7476
📥 Inbox,23,api/qstash/monetization-retry.js | src/bot/bot.js | src/bot/payments/starsHandlers.js,bxBrandMenuKb | bxFeedNavKb | bxMenuKb | getBot | mainMenuBrandKb | mainMenuCreatorCurrentKb | mainMenuCreatorKb | processOrphanedAutohealBatch | registerStarsPaymentsHandlers | renderBxPublicView | renderHomeHub | wsMenuKb,a:go_dialogs | a:bx_inbox|ws:${…}|p:0|h:bo | a:bx_inbox|ws:0|p:0|h:mm | a:bx_inbox|ws:${…}|p:0|h:${…} | a:bx_inbox|ws:${…}|p:${…}|h:${…} | a:bx_inbox|ws:${…}|p:0|h:menu,english_or_internal_term,src/bot/bot.js:3496; src/bot/bot.js:3569; src/bot/bot.js:3607; src/bot/bot.js:4154; src/bot/bot.js:4158; src/bot/bot.js:5395; src/bot/bot.js:6212; src/bot/bot.js:6242
🧹 Очистить,22,src/bot/bot.js,brandDirMultiPickKb | bxMultiPickKb | bxOfferTagsPickerKb | bxOfferWizTagsPickerKb | bxPickKb | folderViewKb | getBot | gwSponsorsReviewKb | renderAdminDmTemplateView | renderBrandBudgetBucketPicker | renderBrandNichePicker | renderWsProfileFormats | renderWsProfileVerticals,a:brand_niche_clear${…}|from:${…} | a:brand_bb_clear${…} | a:bd_mclear|k:${…}|p:${…} | a:bx_otclr|ws:${…}|k:${…} | a:bx_wtagclr|ws:${…}|k:${…} | a:bx_fset|ws:${…}|k:${…}|v:all|rp:${…}|pg:${…}|h:${…}|r:${…} | a:bx_mclear|ws:${…}|k:${…}|p:${…}|h:${…}|r:${…} | a:gw_sponsors_clear|ws:${…} | a:ws_prof_vert_clear|ws:${…} | a:ws_prof_fmt_clear|ws:${…} | a:folder_clear_q|ws:${…}|f:${…} | a:ws_prof_clear|ws:${…}|f:ig,generic_cta | destructive_or_reset,src/bot/bot.js:6827; src/bot/bot.js:6870; src/bot/bot.js:7475; src/bot/bot.js:8203; src/bot/bot.js:8361; src/bot/bot.js:8529; src/bot/bot.js:8556; src/bot/bot.js:8788
